car_ID,brand,model,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,power_to_weight,car_volume,mpg_ratio,is_luxury,city_score,outdoor_score,sport_score,city_score_normalized,outdoor_score_normalized,sport_score_normalized
1,alfa-romeo,giulia,3,gas,standard,2,convertible,Rear Wheel Drive,front,88.6,168.8,64.1,48.8,2548,DOHC (Double Overhead Camshaft),4,2.17,Multi-Point Fuel Injection,3.47,2.68,9.0,111,5000,21,27,13495,0.04356357927786499,528019.904,0.7777777777777778,0,3.420573280275559,2.224952931278267,2.6361243820152724,0.06022346416506119,0.15613197954310376,0.2091420035457532
2,alfa-romeo,stelvio,3,gas,standard,2,convertible,Rear Wheel Drive,front,88.6,168.8,64.1,48.8,2548,DOHC (Double Overhead Camshaft),4,2.17,Multi-Point Fuel Injection,3.47,2.68,9.0,111,5000,21,27,16500,0.04356357927786499,528019.904,0.7777777777777778,0,3.420573280275559,2.224952931278267,2.6361243820152724,0.06022346416506119,0.15613197954310376,0.2091420035457532
3,alfa-romeo,quadrifoglio,1,gas,standard,2,hatchback,Rear Wheel Drive,front,94.5,171.2,65.5,52.4,2823,OHC (Overhead Camshaft),6,2.53,Multi-Point Fuel Injection,2.68,3.47,9.0,154,5000,19,26,16500,0.05455189514700673,587592.6399999999,0.7307692307692307,0,3.701658985518562,2.925202860044697,3.4430461494163027,0.11952614150210841,0.32838674118555994,0.3705002733127181
4,audi,100ls,2,gas,standard,4,sedan,Front Wheel Drive,front,99.8,176.6,66.2,54.3,2337,OHC (Overhead Camshaft),4,1.82,Multi-Point Fuel Injection,3.19,3.4,10.0,102,5500,24,30,13950,0.043645699614890884,634816.956,0.8,0,5.705351516172459,3.694203139638989,4.0235281978236275,0.5422595975677383,0.5175534292819763,0.48657791893562874
5,audi,100ls,2,gas,standard,4,sedan,Four Wheel Drive,front,99.4,176.6,66.4,54.3,2824,OHC (Overhead Camshaft),5,2.27,Multi-Point Fuel Injection,3.19,3.4,8.0,115,5500,18,22,17450,0.04072237960339943,636734.8319999999,0.8181818181818182,1,5.573226082888456,3.8942035334117264,4.412434720378368,0.5143841425306884,0.5667516065933395,0.5643466520590871
6,audi,fox,2,gas,standard,2,sedan,Front Wheel Drive,front,99.8,177.3,66.3,53.1,2507,OHC (Overhead Camshaft),5,2.27,Multi-Point Fuel Injection,3.19,3.4,8.5,110,5500,19,25,15250,0.043877143996808934,624189.969,0.76,0,4.290773561071676,2.8331040175174786,3.228371666858053,0.24381588992021117,0.305731309866889,0.32757231614496674
7,audi,100ls,1,gas,standard,4,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2844,OHC (Overhead Camshaft),5,2.27,Multi-Point Fuel Injection,3.19,3.4,8.5,110,5500,19,25,17710,0.03867791842475387,766364.0460000001,0.76,1,6.6293704534738405,3.945472476502813,4.471461615370153,0.7372065332176049,0.5793632745264917,0.5761501230154694
8,audi,5000,1,gas,standard,4,wagon,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2954,OHC (Overhead Camshaft),5,2.27,Multi-Point Fuel Injection,3.19,3.4,8.5,110,5500,19,25,18920,0.037237643872714964,766364.0460000001,0.76,1,6.67203918892768,3.923525705260627,4.492183579581806,0.7462086638980369,0.5739645794408614,0.5802938460211515
9,audi,4000,1,gas,turbo,4,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.9,3086,OHC (Overhead Camshaft),5,2.18,Multi-Point Fuel Injection,3.13,3.4,8.3,140,5500,17,20,23875,0.04536616979909268,769115.802,0.85,1,6.788860179783706,4.16864593960061,4.788506296466399,0.7708552303996661,0.6342618044821517,0.6395488107783249
10,audi,5000s,0,gas,turbo,2,hatchback,Four Wheel Drive,front,99.5,178.2,67.9,52.0,3053,OHC (Overhead Camshaft),5,2.18,Multi-Point Fuel Injection,3.13,3.4,7.0,160,5500,16,22,17859,0.05240746806419915,629188.56,0.7272727272727273,1,3.916039583101258,2.6506004593140973,3.2576601955437328,0.16475556145706163,0.2608371861750756,0.33342907513160674
